scanned_at,title,url,sku,category,availability,price,price_regular,seller,special_offers
2022-01-05T02:51:47.871992,Намет High Peak Talos 4 Dark Grey/Green (923770),https://allo.ua/ua/palatki/palatka-high-peak-talos-4-dark-grey-green-923770.html,U0431837-0789,"Інтернет магазин,Намети,Намети High Peak",False,,,Xprice,
2022-01-05T02:51:54.268426,Намет High Peak Albany 5 Grey/Blue (925415),https://allo.ua/ua/palatki/palatka-high-peak-albany-5-grey-blue-925415_1.html,U0431791-0789,"Інтернет магазин,Намети,Намети High Peak",False,,,Xprice,
2022-01-05T02:52:00.668432,Намет High Peak Vision 2 Green (923766),https://allo.ua/ua/palatki/palatka-high-peak-vision-2-green-923766.html,U0441712-0789,"Інтернет магазин,Намети,Намети High Peak",False,,,Xprice,
2022-01-05T02:52:07.143537,Намет High Peak Cordoba 80 Aluminium/Dark Grey (926279),https://allo.ua/ua/palatki/palatka-high-peak-cordoba-80-aluminium-dark-grey-926279.html,U0441697-0789,"Інтернет магазин,Намети,Намети High Peak",False,,,Xprice,
2022-01-05T02:52:13.586894,Намет High Peak Tessin 4 Nimbus Grey (928251),https://allo.ua/ua/palatki/palatka-high-peak-tessin-4-nimbus-grey-928251.html,U0441709-0789,"Інтернет магазин,Намети,Намети High Peak",False,,,Xprice,
2022-01-05T02:52:20.054266,Намет High Peak Lido Blue/Grey (926276),https://allo.ua/ua/palatki/palatka-high-peak-lido-blue-grey-926276.html,U0441703-0789,"Інтернет магазин,Намети,Намети High Peak",False,,,Xprice,
2022-01-05T02:52:26.508408,"Планшет Samsung Galaxy Tab A SM-T580 10.1"" 16GB Black (SM-T580NZKASEK)",https://allo.ua/ua/products/internet-planshety/samsung-galaxy-tab-a-sm-t580-10-1-16gb-black-sm-t580nzkasek.html,198169,"Інтернет магазин,Планшети,Планшети Samsung",False,,,allo,
2022-01-05T02:52:33.376023,"Планшет Apple iPad Air 10.9"" (4 Gen) 256GB Wi-Fi 2020 Space Gray (MYFT2)",https://allo.ua/ua/products/internet-planshety/apple-ipad-air-10-9-wi-fi-256gb-space-gray-myft2rk-a.html,696887,"Інтернет магазин,Планшети,Планшети Apple",False,28999,,Official Apple Dealer,
2022-01-05T02:52:39.756207,"Планшет Jeka JK-702 Dual Core 7"" 4GB black",https://allo.ua/ua/products/internet-planshety/jeka-jk-702-dual-core-7-4gb-black.html,106055,"Інтернет магазин,Планшети,Планшети Jeka",False,,,allo,
2022-01-05T02:52:46.159225,"Планшет Samsung Galaxy Tab А SM-T555 9,7 """"LTE 16Gb Smoky Titanium (SM-T555NZAASEK)",https://allo.ua/ua/products/internet-planshety/samsung-galaxy-tab-a-sm-t555-9-7-lte-16gb-smoky-titanium-sm-t555nzaasek.html,141989,"Інтернет магазин,Планшети,Планшети Samsung",False,,,allo,
